Chinese,English
回事,Deepen
my,my
克,gram
街,street
晚上,night
砆,agate
歡迎,welcome
美國,U.S.
我想,I think
進去,Go in
钩,hook
還在,Still
麽,What's wrong?
另,Other
瘋,Crazy
眖,Bleak
成為,become
疭,Bleak
程,Procedure
唯一,only
幹什麼,What to do
救,save
就要,To
幫助,help
干,Dry
不好,not good
麻煩,trouble
筿,Bleak
這次,this time
故事,story
改變,Change
打算,Intend
接受,accept
